ID ;% removal _10psi;MATS2dv;PEOE_VSA9;nRCSSH;F01[C-Si];F07[C-I];F07[B-X];F09[B-X];
16_P9;1.234567901;0.705201493;4.311140893;0;9.493820251;0;0;0;
6_P9;2.263374486;0.776346344;4.0237315;0;10.2490105;0;0;0;
31_P9;2.674897119;1.056317024;2.682487667;0;13.16188717;0;0;0;
34_P9;2.880658436;-0.27872193;11.70927156;0;0.193460425;0;0;0;
4_P9;3.086419753;-0.276432922;11.70927156;0;0.723938224;0;0;0;
30_P9;3.086419753;-0.552865843;23.41854312;0;1.447876448;0;0;0;
62_P9;3.456790123;-0.055286584;2.341854312;0;0.144787645;0;0;0;
32_P9;4.115226337;-0.054592409;2.341854312;0;0.305662806;0;0;0;
10_P9;4.732510288;-0.272267869;11.70927156;0;1.689189189;0;0;0;
56_P9;5.185185185;-0.054453574;2.341854312;0;0.337837838;0;0;0;
7_P9;5.761316872;-0.189773491;7.983594246;0;0.193130631;0;0;0;
20_P9;6.378600823;-0.379546982;15.96718849;0;0.386261261;0;0;0;
13_P9;6.995884774;-0.187483059;7.983594246;0;0.723938224;0;0;0;
43_P9;7.407407407;-0.037496612;1.596718849;0;0.144787645;0;0;0;
9_P1;8.383233533;-0.184012182;7.983594246;0;1.528314028;0;0;0;
36_P9;8.436213992;-0.036802436;1.596718849;0;0.305662806;0;0;0;
21_P9;10.08230453;-0.366636012;15.96718849;0;3.378378378;0;0;0;
29_P9;10.08230453;-0.183318006;7.983594246;0;1.689189189;0;0;0;
49_P9;10.12345679;-0.368718539;15.96718849;0;2.895752896;0;0;0;
61_P9;10.12345679;-0.036663601;1.596718849;0;0.337837838;0;0;0;
18_P1;10.81081081;-0.371495241;15.96718849;0;2.252252252;0;0;0;
1_P9;10.90534979;-0.176230164;7.451354629;0;0.386920849;0;0;0;
35_P9;10.90534979;-0.18574762;7.983594246;0;1.126126126;0;0;0;
40_P9;11.11111111;-0.088115082;3.725677315;0;0.193460425;0;0;0;
2_P9;12.1399177;-0.085826073;3.725677315;0;0.723938224;0;0;0;
5_P9;12.1399177;-0.171652146;7.451354629;0;1.447876448;0;0;0;
8_P9;12.96296296;-0.082355196;3.725677315;0;1.528314028;0;0;0;
28_P9;12.96296296;-0.164710392;7.451354629;0;3.056628057;0;0;0;
24_P9;13.16872428;-0.016471039;0.745135463;0;0.305662806;0;0;0;
3_P9;13.3744856;-0.08166102;3.725677315;0;1.689189189;0;0;0;
50_P9;14.07407407;-0.165404567;7.451354629;0;2.895752896;0;0;0;
14_P9;14.19753086;-0.082702284;3.725677315;0;1.447876448;0;0;0;
57_P9;15.30864198;-0.016540457;0.745135463;0;0.28957529;0;0;0;
48_P9;15.55555556;-0.084090634;3.725677315;0;1.126126126;0;0;0;
39_P9;15.80246914;-0.016818127;0.745135463;0;0.225225225;0;0;0;
F10_P2;16.19047619;-0.125401671;5.322396164;0;0.386920849;0;0;0;
26_P1;16.20111732;-0.062700835;2.661198082;0;0.193460425;0;0;0;
37_P9;16.54320988;-0.120823653;5.322396164;0;1.447876448;0;0;0;
63_P9;17.77777778;-0.056940949;2.661198082;0;1.528314028;0;0;0;
27_P9;19.34156379;-0.112493548;5.322396164;0;3.378378378;0;0;0;
15_P9;19.5473251;-0.056246774;2.661198082;0;1.689189189;0;0;0;
19_P9;19.95884774;-0.114576074;5.322396164;0;2.895752896;0;0;0;
65_P9;20.49382716;-0.057288037;2.661198082;0;1.447876448;0;0;0;
23_P9;20.781893;-0.011457607;0.532239616;0;0.28957529;0;0;0;
46_P9;21.97530864;-0.058676388;2.661198082;0;1.126126126;0;0;0;
54-P9;22.4691358;1.305404047;10.78243137;0;18.36;0;0;0;
15_P1;24.26035503;0.69109626;5.708346017;0;9.72;0;0;0;
25_P9;25.30864198;0.307153893;2.537042674;0;4.32;0;0;0;
3_P1;27.27272727;0.076788473;0.634260669;0;1.08;0;0;0;
F25_P2;34.6031746;0.031952445;2.305944295;0;0.15171;0;0;0;
33_P9;39.71193416;0.014157194;0.819399173;0;0.08684;0;0;0;
F30_P2;51.96629213;0.016453097;0.204849793;0;0.17342;0;0;0;
